Rk,Player,Position,Age,Team,Games,Minutes played per game,Field Goal Percentage,Points per game
437,JaKarr Sampson,SF,25,CHI,4,31.8,0.537,20
438,Dario ?ari?,PF,24,TOT,81,25,0.437,10.6
439,Tom¨¢? Satoransky,PG,27,WAS,80,27.1,0.485,8.9
440,Dennis Schr?der,PG,25,OKC,79,29.3,0.414,15.5
441,Mike Scott,PF,30,TOT,79,17.7,0.4,5.8
442,Thabo Sefolosha,SF,34,UTA,50,12.2,0.477,3.8
443,Wayne Selden,SG,24,TOT,75,19.2,0.406,6.9
444,Collin Sexton,PG,20,CLE,82,31.8,0.43,16.7
445,Landry Shamet,SG,21,TOT,79,22.8,0.431,9.1
446,Iman Shumpert,SG,28,TOT,62,23.9,0.374,7.5
447,Pascal Siakam,PF,24,TOR,80,31.9,0.549,16.9
448,Jordan Sibert,SG,26,ATL,1,4,1,3
449,Ben Simmons,PG,22,PHI,79,34.2,0.563,16.9
450,Jonathon Simmons,SG-SF,29,TOT,56,19,0.38,6.5
451,Kobi Simmons,PG,21,CLE,1,2,,0
452,Anfernee Simons,SG,19,POR,20,7.1,0.444,3.8
453,Marcus Smart,SG,24,BOS,80,27.5,0.422,8.9
454,Dennis Smith Jr.,PG,21,TOT,53,28.5,0.428,13.6
455,Ish Smith,PG,30,DET,56,22.3,0.419,8.9
456,J.R. Smith,SG,33,CLE,11,20.2,0.342,6.7
457,Jason Smith,PF-C,32,TOT,20,9.5,0.356,3.3
458,Zhaire Smith,SG,19,PHI,6,18.5,0.412,6.7
459,Tony Snell,SF,27,MIL,74,17.6,0.452,6
460,Ray Spalding,PF,21,TOT,14,10.6,0.532,3.9
461,Omari Spellman,PF,21,ATL,46,17.5,0.402,5.9
462,Nik Stauskas,SG,25,TOT,68,14.9,0.402,5.9
463,D.J. Stephens,SG,28,MEM,1,7,0.5,2
464,Lance Stephenson,SG,28,LAL,68,16.5,0.426,7.2
465,Edmond Sumner,PG,23,IND,23,9.1,0.344,2.9
466,Caleb Swanigan,PF,21,TOT,21,8.5,0.34,2
467,Jayson Tatum,SF,20,BOS,79,31.1,0.45,15.7
468,Jeff Teague,PG,30,MIN,42,30.1,0.423,12.1
469,Garrett Temple,SG,32,TOT,75,27.2,0.422,7.8
470,Milo? Teodosi?,PG,31,LAC,15,10,0.425,3.2
471,Jared Terrell,SG,23,MIN,14,7.9,0.308,2.2
472,Emanuel Terry,PF,22,TOT,3,7.7,0.571,3.3
473,Daniel Theis,C,26,BOS,66,13.8,0.549,5.7
474,Isaiah Thomas,SG,29,DEN,12,15.1,0.343,8.1
475,Khyri Thomas,SG,22,DET,26,7.5,0.319,2.3
476,Lance Thomas,PF,30,NYK,46,17,0.396,4.5
477,Klay Thompson,SG,28,GSW,78,34,0.467,21.5
478,Tristan Thompson,C,27,CLE,43,27.9,0.529,10.9
479,Sindarius Thornwell,SG,24,LAC,64,4.9,0.347,1
480,Anthony Tolliver,PF,33,MIN,65,16.6,0.382,5
481,Karl-Anthony Towns,C,23,MIN,77,33.1,0.518,24.4
482,Gary Trent Jr.,SG,20,POR,15,7.4,0.32,2.7
483,Allonzo Trier,SG,23,NYK,64,22.8,0.448,10.9
484,P.J. Tucker,PF,33,HOU,82,34.2,0.396,7.3
485,Evan Turner,PG,30,POR,73,22,0.46,6.8
486,Myles Turner,C,22,IND,74,28.6,0.487,13.3
487,Ekpe Udoh,C,31,UTA,51,6.3,0.694,2.3
488,Tyler Ulis,PG,23,CHI,1,1,,0
489,Jonas Valan?i¨±nas,C,26,TOT,49,22.3,0.559,15.6
490,Jarred Vanderbilt,PF,19,DEN,17,4.1,0.474,1.4
491,Fred VanVleet,PG,24,TOR,64,27.5,0.41,11
492,Noah Vonleh,PF,23,NYK,68,25.3,0.47,8.4
493,Nikola Vu?evi?,C,28,ORL,80,31.4,0.518,20.8
494,Dwyane Wade,SG,37,MIA,72,26.2,0.433,15
495,Moritz Wagner,C,21,LAL,43,10.4,0.415,4.8
496,Dion Waiters,SG,27,MIA,44,25.9,0.414,12
497,Kemba Walker,PG,28,CHO,82,34.9,0.434,25.6
498,Lonnie Walker,SG,20,SAS,17,6.9,0.348,2.6
499,John Wall,PG,28,WAS,32,34.5,0.444,20.7
500,Tyrone Wallace,PG,24,LAC,62,10.1,0.424,3.5
501,Brad Wanamaker,PG,29,BOS,36,9.5,0.476,3.9
502,T.J. Warren,SF,25,PHO,43,31.6,0.486,18
503,Julian Washburn,SF,27,MEM,18,14.1,0.333,2.2
504,Yuta Watanabe,SF,24,MEM,15,11.6,0.294,2.6
505,Thomas Welsh,C,22,DEN,11,3.3,0.538,1.6
506,Russell Westbrook,PG,30,OKC,73,36,0.428,22.9
507,Derrick White,PG,24,SAS,67,25.8,0.479,9.9
508,Okaro White,PF,26,WAS,3,2,0,0
509,Hassan Whiteside,C,29,MIA,72,23.3,0.571,12.3
510,Andrew Wiggins,SF,23,MIN,73,34.8,0.412,18.1
511,Alan Williams,PF,26,BRK,5,5.2,0.615,3.6
512,C.J. Williams,SG,28,MIN,15,8.5,0.486,2.6
513,Johnathan Williams,C,23,LAL,24,15.5,0.591,6.5
514,Kenrich Williams,SF,24,NOP,46,23.5,0.384,6.1
515,Lou Williams,SG,32,LAC,75,26.6,0.425,20
516,Marvin Williams,PF,32,CHO,75,28.4,0.422,10.1
517,Robert Williams,C,21,BOS,32,8.8,0.706,2.5
518,Troy Williams,SF,24,SAC,21,14.9,0.449,5.3
519,D.J. Wilson,PF,22,MIL,48,18.4,0.414,5.8
520,Justise Winslow,SF,22,MIA,66,29.7,0.433,12.6
521,Christian Wood,PF,23,TOT,21,12,0.521,8.2
522,Delon Wright,PG,26,TOT,75,22.7,0.434,8.7
523,Guerschon Yabusele,PF,23,BOS,41,6.1,0.455,2.3
524,Nick Young,SG,33,DEN,4,9.3,0.333,2.3
525,Thaddeus Young,PF,30,IND,81,30.7,0.527,12.6
526,Trae Young,PG,20,ATL,81,30.9,0.418,19.1
527,Cody Zeller,C,26,CHO,49,25.4,0.551,10.1
528,Tyler Zeller,C,29,TOT,6,15.5,0.533,7.7
529,Ante ?i?i?,C,22,CLE,59,18.3,0.553,7.8
530,Ivica Zubac,C,21,TOT,59,17.6,0.559,8.9
16,Ryan Anderson,PF,30,PHO,15,18.5,0.317,3.7
16,Ryan Anderson,PF,30,MIA,10,4.4,0.222,0.7
23,Trevor Ariza,SF,33,PHO,26,34,0.379,9.9
23,Trevor Ariza,SF,33,WAS,43,34.1,0.409,14.1
28,Ron Baker,SG,25,NYK,11,9.7,0.25,1.3
28,Ron Baker,SG,25,WAS,4,11.3,0,0
33,Harrison Barnes,PF,26,DAL,49,32.3,0.404,17.7
33,Harrison Barnes,SF,26,SAC,28,33.9,0.455,14.3
63,Avery Bradley,SG,28,LAC,49,29.9,0.383,8.2
63,Avery Bradley,SG,28,MEM,14,31.6,0.463,16.1
65,Corey Brewer,SF,32,PHI,7,20,0.408,7.6
65,Corey Brewer,SF,32,SAC,24,14.7,0.446,4.1
80,Reggie Bullock,SG,27,DET,44,30.8,0.413,12.1
80,Reggie Bullock,SG,27,LAL,19,27.6,0.412,9.3
81,Trey Burke,PG,26,NYK,33,20.9,0.413,11.8
81,Trey Burke,PG,26,DAL,25,17.4,0.463,9.7
82,Alec Burks,SG,27,UTA,17,15.8,0.412,8.4
82,Alec Burks,SG,27,CLE,34,28.8,0.4,11.6
82,Alec Burks,SG,27,SAC,13,9.8,0.45,1.7
84,Jimmy Butler,SG,29,MIN,10,36.1,0.471,21.3
84,Jimmy Butler,SF,29,PHI,55,33.2,0.461,18.2
88,Isaiah Canaan,PG,27,PHO,19,26.5,0.395,7.5
88,Isaiah Canaan,PG,27,MIN,7,13.6,0.379,4.7
88,Isaiah Canaan,PG,27,MIL,4,7.8,0.333,1.5
94,Michael Carter-Williams,PG,27,HOU,16,9.1,0.41,4.3
94,Michael Carter-Williams,PG,27,ORL,12,18.9,0.339,5.4
100,Tyson Chandler,C,36,PHO,7,12.7,0.667,3.7
100,Tyson Chandler,C,36,LAL,48,16.4,0.609,3.1
101,Wilson Chandler,PF,31,PHI,36,26.4,0.44,6.7
101,Wilson Chandler,SF,31,LAC,15,15.1,0.348,4.3
104,Marquese Chriss,PF,21,HOU,16,6.5,0.324,1.8
104,Marquese Chriss,PF,21,CLE,27,14.6,0.384,5.7
116,Robert Covington,SF,28,PHI,13,33.8,0.427,11.3
116,Robert Covington,SF,28,MIN,22,34.7,0.433,14.5
120,Mitch Creek,SF,26,BRK,4,9,0.5,3.8
120,Mitch Creek,SF,26,MIN,1,12,0.5,6
131,Sam Dekker,PF,24,CLE,9,18.8,0.458,6.3
131,Sam Dekker,PF,24,WAS,38,16.3,0.471,6.1
133,Matthew Dellavedova,PG,28,MIL,12,8.1,0.316,1.7
133,Matthew Dellavedova,PG,28,CLE,36,19.9,0.413,7.3
143,Tyler Dorsey,SG,22,ATL,27,9.3,0.36,3.3
143,Tyler Dorsey,SG,22,MEM,21,21.3,0.429,9.8
153,Henry Ellenson,PF,22,DET,2,12.5,0.4,6
153,Henry Ellenson,PF,22,NYK,17,13.8,0.412,6
154,Wayne Ellington,SG,31,MIA,25,21.3,0.375,8.4
154,Wayne Ellington,SG,31,DET,28,27.3,0.421,12
156,James Ennis,SF,28,HOU,40,23.7,0.493,7.4
156,James Ennis,SF,28,PHI,18,15.6,0.41,5.3
